No.,Example name,ID,C,I,E,Nodes,DIR,NOT,AND,OR,NAND,NOR,Relations,EXC,INC,EXC Δ INC,REQ,MSK,Constraints,System requirements
14,Elmendorf 2,IBM Technical Report TR 00.2089,6,2,4,12,1,1,1,1,1,1,6,2,1,0,0,0,3,Not specified
15,Gavrilović,Knowledge assessment using cause-effect graphing methods,8,5,7,20,6,2,2,2,0,0,12,0,0,0,0,0,0,"Any processing of questions and answers, in the application is observed as a transformation, so that the question C1 student earns an appropriate amount of points E1 on the basis of this transformation. Questions C2 and C3 both bring a student certain number of points E11 is both correct answers. The questions C3 and C4 together bring the student a number of points E12. If answers are true to any of questions, points are added. If the answer on question C5 is correct, student earns a corresponding amount of points E1 on the basis of this transformation. Students answer to the question number C6 is the effect of earned points E6. E6 may be a value of 0 to 2. Students answer to the question number C7 is the effect of earned points E7 as a transformation. E7 may be a value of 0 to 3. Student answer to the question C8 is the points earned E8. E8 can be a value of 0 to 3. C1 is the first type of question where the correct answer student passes and receives a score of E1. C2 is the second true/false type of question where with the combination of question C3 which is also true/false and correct answer receives a score E11. C3 is true/false type of question and in the combination with C4 (fourth true/false question) shows student scores E12. C5 is a true/false type question, which in transformation with a correct answer gives students a result of E1. C6 is a multiple choice type question, where 100% in combination with C7100% and in combination with 8 additional sub-question multiple choice guides student to additional points for commitment and obtaining the results of E13 with additional knowledge test."
16,Jagli,10.5121/ijsea.2012.3606,6,0,5,11,3,0,0,2,0,0,5,1,0,0,0,4,5,"If a student is placed in a dream company, then he/she is out of the placement process. If a student gets a 2nd offer, then the 1st offer stands cancelled and he/she is also out of the placement process. A student has only maximum 3 attempts for 2nd job. If a student gets placed in a core company, then he/she can apply only for core companies for the 2nd job. If a student gets dream internship, he/she is eligible for only non-dream companies for the 2nd job."
17,Jang 1,10.3390/app112411775,3,1,1,5,0,0,2,0,0,0,2,0,0,0,0,0,0,"If the input A is nteed and the input B is entered, the output C is printed. If the output C is printed and the input D is entered, the output E is printed."
18,Jang 2,10.3390/app112411775,3,0,2,5,0,0,2,0,0,0,2,0,0,0,0,0,0,"If input A is satisfied and input B is satisfied, output C is printed. If input B is satisfied and input D is satisfied, output E is printed."
19,Jang 3,10.3390/app112411775,2,1,1,4,1,0,1,0,0,0,2,0,0,0,0,0,0,"When the airvehicle becomes the node in the net and performs networking, command and control, and combat space awareness, the data transmission and reception functions for air traffic management are implemented. If the antenna assembly or assembly comprises the communication subsystem and data transmission and reception functions for air traffic management are implemented, the level 3 element is completed."
20,Jang 4,10.3390/app12189310,3,1,3,7,2,0,1,1,0,0,4,1,0,0,0,1,2,"If the character of the first column is ""A"" or ""B"", print message X12. If the second column is a number, print message X13. If the character of the first column is ""A"" or ""B"" and the second column is a number, file is considered updated."
21,Kalaee,10.1002/qre.1934,9,6,1,16,0,0,2,5,0,0,7,0,0,0,0,0,0,Not specified
22,Khdairat 1,10.17706/jsw.13.9.497-505,4,1,1,6,0,0,1,1,0,0,2,0,0,0,1,0,1,Not specified
23,Khdairat 2,10.17706/jsw.13.9.497-505,11,7,1,19,0,0,6,6,0,0,12,2,0,1,1,0,4,"Assume that the described system contains six roles denoted by R1, R2, R3, R4, R5, and R6 and assume that the role R6 has more authority than the role R4 i.e., R6 > R4. Also, assume that the system contains five objects denoted by A, B, C, D, and E. The authorizations of roles on objects are given through the following policies: Policy 1: Users playing the role R2 can access objects A, B. Policy 2: Users playing the role R3 can access object B. Policy 3: Users playing the role R3 or the role R5 can access objects C, D. Policy 4: Users playing the role R6 can access objects B, C, D. Policy 5: Users playing both the role R5 and the role R6 can access object A. Policy 6: Users playing the roles R1, R4 or R5 can access object E. Assume that the system has some regulations on the specified policies stated as: Users cannot play role R2 and role R6 simultaneously. Users cannot play role R3 and role R6 simultaneously. Users should play one and only one of the roles R4 and R5. Playing the role R6 is a prerequisite to play the role R1."
24,Kong,10.1109/RAMS.2007.328104,13,8,14,35,4,7,11,0,0,0,22,3,0,0,12,0,15,Not specified
25,Kramer,Model-Based Testing Essentials: Guide to the ISTQB Certified Model-Based Tester Foundation Level,4,1,1,6,0,0,1,1,0,0,2,0,0,0,0,0,0,"A loan is granted if its duration is between 12 and 48 months and its amount is below $25,000 and if the applicant uses it to purchase either domestic appliance or consumer electronics."
26,Krupalija 1,10.1109/ACCESS.2022.3225097,4,4,3,11,3,3,5,0,0,0,11,1,0,0,0,0,1,"The train stops when it reaches the train station. When the train is approaching the top lever and it is in the default position, the longer track will be taken. When the train is approaching the top lever and it is not in the default position, the shorter track will be taken. When the train is approaching gate 1, it needs to be closed. When the train is moving away from gate 1, it needs to be opened. When the train is approaching gate 2, it needs to be closed. When the train is moving away from gate 2, it needs to be opened. The train stops if it is approaching the bottom lever and it is not in the default position. If the train is approaching the bottom lever from the shorter track and it is not in the default position, it will move onto the main track. If the train is approaching the bottom lever from the longer track and it is in the default position, it will move onto the main track. Only one of the sensors can be simultaneously active."
27,Krupalija 2,10.1109/INFOTEH57020.2023.10094154,4,0,4,8,4,0,0,0,0,0,4,0,0,0,0,3,3,Not specified
28,Lal 1,From cause to effect: An empirical study of cause-effect graphing testing techniques and its test-measurement: A review,4,3,5,12,0,4,4,0,0,0,8,0,0,0,0,10,10,"The following conditions mut be fulfilled in order to get money from the machine: the bankcard is valid, the PIN must be correctly entered, the maximum number of PIN inputs is three and there is money in the machine and in the account. The following actions are possible at the machine: reject card, ask for another PIN input, ""eat"" the card, ask for an alternate dollar amount and pay the requested amount of money."
29,Lal 2,From cause to effect: An empirical study of cause-effect graphing testing techniques and its test-measurement: A review,4,3,5,12,0,2,4,1,1,0,8,1,0,0,0,10,11,"If command is withdrawal or deposit, then one can have a valid command and thus, the negation will become an invalid command. Similarly, if command is withdrawal (can choose deposit instead), but account number is invalid, then the effect is ""Print invalid account number"". If withdrawal command is correct, account number is valid, butthe transaction amount is invalid, then the effect is ""Print withdrawal amount not valid"". Finally, for the ""successful withdrawal made"" the causes can be command withdrawal, account number valid and transaction amount valid. For the effect ""succssful deposit made"" the causes can be command deposit, account number valid and transaction amount valid."
30,Malekzadeh,10.1109/ICCAE.2010.5451975,5,2,1,8,0,0,1,2,0,0,3,0,0,1,0,0,1,"The boiler should be shutdown if the water level in a boiler is below the 20,000lb or if the water level in a boiler is above the 120,000lb or, if a water pump has failed or a pump monitor has failed, and steam meter has failed at the same time."
31,Myers 1,The Art of Software Testing,3,1,3,7,0,2,1,1,0,0,4,1,0,0,0,0,1,"The character in column 1 must be an ‘‘A’’ or a ‘‘B.’’ The character in column 2 must be a digit. In this situation, the file update is made. If the first character is incorrect, message X12 is issued. If the second character is not a digit, message X13 is issued."
32,Myers 2,The Art of Software Testing,18,13,7,38,0,6,9,5,0,0,20,1,0,1,18,5,25,"The DISPLAY command is used to view from a terminal window the contents of memory locations. The command syntax is shown in Figure 4.11. Brackets represent alternative optional operands. Capital letters represent operand keywords. Lowercase letters represent operand values (actual values are to be substituted). Underlined operands represent the default values (i.e., the value used when the operand is omitted). The first operand (hexloc1) specifies the address of the first byte whose contents are to be displayed. The address may be one to six hexadecimal digits (0–9, A–F) in length. If it is not specified, the address 0 is assumed. The address must be within the actual memory range of the machine. The second operand specifies the amount of memory to be displayed. If hexloc2 is specified, it defines the address of the last byte in the range of locations to be displayed. It may be one to six hexadecimal digits in length. The address must be greater than or equal to the starting address (hexloc1). Also, hexloc2 must be within the actual memory range of the machine. If END is specified, memory is displayed up through the last actual byte in the machine. If bytecount is specified, it defines the number of bytes of memory to be displayed (starting with the location specified in hexloc1). The operand bytecount is a hexadecimal integer (one to six digits). The sum of bbytecount and hexloc1 must not exceed the actual memory size plus 1, and bytecount must have a value of at least 1. When memory contents are displayed, the output format on the screen is one or more lines of the format xxxxxx = word1 word2 word3 word4, where xxxxxx is the hexadecimal address of word1. An integral number of words (four-byte sequences, where the address of the first byte in the word is a multiple of 4) is always displayed, regardless of the value of hexloc1 or the amount of memory to be displayed. All output lines will always contain four words (16 bytes). The first byte of the displayed range will fall within the first word. The error messages that can be produced are: M1 is invalid command syntax. M2 memory requested is beyond actual memory limit. M3 memory requested is a zero or negative range."
33,Nursimulu 01,10.5555/781915.781961,3,1,2,6,1,1,1,0,0,0,3,0,0,0,0,0,0,"If the first argument is the name of an existing file in the sender's home directory, the second argument is the name of receiver's file server and the third argument is the receiver's userid, then the file is successfully sent. In the opposite case, the sender obtains an error message."
34,Nursimulu 02,10.5555/781915.781961,4,2,1,7,0,0,2,1,0,0,3,0,0,0,0,0,0,Not specified
35,Nursimulu 03,10.5555/781915.781961,4,4,1,9,0,0,1,4,0,0,5,0,0,0,0,0,0,Not specified
36,Nursimulu 04,10.5555/781915.781961,6,2,1,9,0,0,1,2,0,0,3,1,1,1,0,0,3,Not specified
37,Nursimulu 05,10.20381/ruor-16800,4,3,3,10,0,1,4,1,0,0,6,0,0,0,0,0,0,"A student can either be enrolled at University of Ottawa, at the University of Carleton, or at the University of Quebec in Hull. If he/she obtains grade A+ in Mathematics and he/she is at University of Ottawa or at University of Quebec in Hull, then the computer system at the university wll allow him/her to take the skating course in winter. If he/she obtains grade A+ and he/she is at Univrsity of Carleton, then the system will allow him/her to take the skiing course in winter. If his/her grade is less than A+ in any university the system will order him/her to take the skate polishing course in winter. A student cannot be enrolled at more than one university at a time."
38,Nursimulu 06,10.20381/ruor-16800,3,1,1,5,0,0,2,0,0,0,2,0,0,0,0,0,0,Not specified
39,Nursimulu 07,10.20381/ruor-16800,6,5,2,13,0,3,2,2,0,0,7,0,0,0,0,0,0,Not specified
40,Nursimulu 08,10.20381/ruor-16800,8,6,5,19,0,3,7,1,0,0,11,0,0,1,1,0,2,"Given an input text having the following properties: it is a stream of characters, where the characters are classified as break and BL (blank), NL (new line indicator) or ET (end-of-text indicator), the final character in the text is ET, a word is a nonempty sequence of non-break characters, a break is a sequence of one or more break characters. The program's output should be the same sequence of words as in the input with the following properties: a new line should start only between words and at the beginning of the output text, if any, a break in the input is reduced to a single break character in the output, as many words as possible should be placed on each line (i.e. between successive NL characters), no line may contain more than MAXPOS characters (words and BL's), an oversize word (i.e. a word containing more than MAXPOS characters) should cause an error exit from the program (i.e. a variable Alarm should have the value TRUE)."
41,Nursimulu 09,10.20381/ruor-16800,4,3,1,8,0,0,3,1,0,0,4,0,0,0,0,0,0,Not specified
42,Nursimulu 10,10.20381/ruor-16800,4,4,1,9,0,1,4,0,0,0,5,0,0,0,0,0,0,Not specified
43,Nursimulu 11,10.20381/ruor-16800,3,1,1,5,0,0,1,1,0,0,2,1,0,0,0,0,1,Not specified
44,Nursimulu 12,10.20381/ruor-16800,5,0,2,7,0,0,2,0,0,0,2,0,0,0,2,0,2,Not specified
45,Nursimulu 13,10.20381/ruor-16800,4,0,3,7,0,0,3,0,0,0,3,0,0,1,0,0,1,Not specified
46,Nursimulu 14,10.20381/ruor-16800,3,1,2,6,0,1,2,0,0,0,3,0,0,0,0,0,0,Not specified
47,Nursimulu 15,10.20381/ruor-16800,8,1,6,15,0,1,6,0,0,0,7,0,0,0,0,0,0,"This system is a game having any number of players. The players belong to the environment of the system. A ""daemon"" in the nvironment of the system sends Bump signals randomly to the system. A player has to guess whether the number of the Bump signals received by the system is odd or even. The guess is made by sending a Probe signal to the system. The system replies by the signal Win if the number of the received Bump signal is odd, otherwise by the signal Lose. The system keeps track of the score of each player. A player can ask for the current value of his score by the signal Result, which is answered by the system with the signal Score. Before a player can start playing, he must log in. This is accomplished by the signal Newgame. A player logs out by the signal Endgame."
48,Nursimulu 16,10.20381/ruor-16800,11,2,8,21,3,0,6,1,0,0,10,0,0,0,2,0,2,"With three-way calling, if A is engaged in a call with B, and wishes to add C to the call, then A depresses the switchhook button momentarily (an action called (""flashhook"") to put B on hold; the switching node responds to the flashhook by sending A a dialtone; when A receives the dialtone, A dials C's number; after C answers, A performs a second flashhook to remove B from hold and begin the Three-way call. After the TWC has been established, A can remove C from the call with a flashhook, or if either B or C hangs up, a standard two-party call continues between A and the remaining party. Whenever A hangs up the call is terminated."
49,Nursimulu 17,10.20381/ruor-16800,12,7,9,28,2,0,9,5,0,0,16,0,0,0,2,0,2,"With Call-waiting, if A is engaged in a call with B, and C calls A, a signal tone will be heard on A's line, and audible ringing will be heard on C's line. A can then place B on hold and answer C's call witha single flashhook. A can switch back and forth between the two calls via flashhooks, until one or the otherof the calls is terminated. Should party A inadvertently hang up while either B or C is on hold, A will be automatically rung back, and upon answering is connected to the held party."
50,Nursimulu 18,10.20381/ruor-16800,14,1,9,24,1,0,8,1,0,0,10,0,0,0,4,0,4,Not specified
51,Nursimulu 19,10.20381/ruor-16800,7,7,7,21,2,0,7,5,0,0,14,0,0,0,0,0,0,Not specified
52,Nursimulu 20,10.20381/ruor-16800,19,6,14,39,4,0,12,4,0,0,20,0,0,0,4,0,4,Not specified
53,Nursimulu 21,10.20381/ruor-16800,4,4,2,10,0,0,4,2,0,0,6,2,0,0,0,0,2,Not specified
54,Nursimulu 22,10.20381/ruor-16800,2,1,2,5,2,0,1,0,0,0,3,0,0,0,0,0,0,Not specified
55,Nursimulu 23,10.20381/ruor-16800,3,1,1,5,0,0,1,1,0,0,2,0,0,0,0,0,0,Not specified
56,Nursimulu 24,10.20381/ruor-16800,2,0,1,3,0,0,0,1,0,0,1,0,0,0,2,0,2,Not specified
57,Pfleeger,Software Engineering: Theory and Practice,5,0,3,8,0,2,3,0,0,0,5,0,0,1,0,3,4,"INPUT: The syntax of the function is LEVEL(A,B) where A is the height in meters of the water behind the dam, and B is the number of centimeters of rain in the last 24-hour period. PROCESSING: The function calculates whether the water level is within a safe range, is too high, or is too low. OUTPUT: The screen shows one of the following messages: “LEVEL: SAFE” when the result is safe or low. “LEVEL: HIGH” when the result is high. “INVALID SYNTAX” otherwise."
58,Son,10.1109/ICISA.2014.6847468,5,0,4,9,2,0,2,0,0,0,4,0,0,2,0,0,2,"If the country is USA, all weight results in price of $11. If the country is Asia and weight is below 15 kg, the price is $10, otherwise the price is $12. If the country is Europe, all weight results in price of $15."
59,Srivastava,10.1145/1507195.1507216,4,1,4,9,0,0,5,0,0,0,5,0,0,0,0,0,0,Display message A if input one and two. Display message B if input two and three. Display message C if input one and three. Display message D if input one and two and flag is set. Only one possible either Flag is set or input is three.
60,Tai,10.5555/962289.962329,3,2,1,6,0,0,2,1,0,0,3,0,0,0,0,0,0,Not specified
61,Ufuktepe 1,10.1007/s11219-021-09560-3,4,2,2,8,0,0,1,1,0,0,2,0,0,0,0,0,0,Not specified
62,Ufuktepe 2,10.1007/s11219-021-09560-3,7,14,1,22,0,4,6,5,0,0,15,0,0,1,0,0,1,Not specified
63,Weissleder 1,Cause-effect graphs for test models based on UML and OCL,3,4,2,9,0,2,2,2,0,0,6,0,0,0,0,0,0,Not specified
64,Weissleder 2,Cause-effect graphs for test models based on UML and OCL,3,1,2,6,0,0,1,1,0,1,3,0,0,0,0,0,0,Not specified
65,Weissleder 3,Cause-effect graphs for test models based on UML and OCL,2,0,2,4,0,0,0,1,0,1,2,0,0,0,0,0,0,Not specified
